sentence,threat
desktop analytic ,0
a application and process monitoring in real time designer configure an automatic process configure an automatic process this section describe how to configure an example automatic process introduce in introduce desktop analytic on page ,0
after set up the process you configure the task comprise that process as describe in configure task on page  note process and task can be define in real time designer use standard method describe below or use a recording approach ,0
see use the recording method for define process and task on page for detail about the latter ,0
step through step in the scenario describe below assume that standard method have be use  to configure an automatic process for monitor in real time designer ,0
open the business logic window by click the business logic module tab ,0
in the process tree select automatic process and then click right click automatic process and select add new automatic process from the popup a new automatic process be add to the tree ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure an automatic process ,0
assign a recognizable name to the process  ,0
define the relevant screen element to be use as trigger and the unique identifier of the process and task ,0
it be assume that this step have already be perform by an integration expert ,0
for more detail see the define screen element section in the real time designer user guide  ,1
create the business entity to store the value of these screen element or represent their event and function ,0
it be assume that this step have already be perform by an integration expert ,0
for more detail see the business entity section in the real time designer user guide  ,1
define the trigger of the process a click the down arrow in the start when area to define its value ,0
in our example an event be use as the start trigger ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure an automatic process the follow window be display b select screen element outlook message create in the drop down list as show below solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure an automatic process this selection mean that as long as the original message window be active not close then this process be active ,0
c define the stop when value to indicate when the message window be close ,0
select screen element outlook message destroy in the drop down list as show below this selection mean that as long as the original message window be destroy inactive then this process be active  ,0
define the property of the process solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure an automatic process a define the queue tag value ,0
the queue tag provide a means to categorize the process ,0
for example because handle email be a generic activity you may want to categorize the email be handle by type such as claim relate email request relate email and so on ,0
in a wfm environment different type of email be automatically handle separately ,0
in order to provide information to the wfm system in the most usable form you also want to categorize email by type so that email handle time for different email type can be count separately ,0
use queue tag can help differentiate between the various context of the usage of a process ,0
note for automatic process a queue tag must have or few character and must not include space or tab ,0
this limitation be require when send process information to workforce management wfm ,0
if the process information be not be send to wfm and you require more than character in the queue tag use a text business entity in the queue tag instead of a static value ,0
the business entity and its initial value can include more than character ,0
for our scenario select business entity message orientation in the drop down list ,0
the message orientation value mean that the email type can be determine directly from the email itself ,0
in effect this selection extract the prefix of the email address in the to field of an email up to the sign in the address ,0
the extract prefix be then use to tag categorize email by type so that email handle time for different email type can be count separately ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure an automatic process b define the unique i d value ,0
the unique i d identify the process instance currently be execute ,0
this field be use to support multiple instance of a process in a seamless manner ,0
the unique i d be assign once when the process start ,0
the unique i d typically have some type of business meaning and be use to uniquely identify a specific transaction problem or issue be handle ,0
note real time designer s screen integration and connectivity technology can connect to multiple instance of a window or application at any give point in time ,0
however for the purpose of this exercise we assume that only the active instance of an email message window be consider ,0
the unique i d be limit to character ,0
if it be long than that the value be truncate by the server ,0
if preferred use the alternative unique i d property to temporarily store a business unique i d while the process use an operational unique i d  at run time the value you specify for this property be assign to the unique i d of the process when the process stop ,0
important the unique i d enable you to handle various type of circumstance describe below ,0
the uniqueness of the value be crucial for a process ,0
for our scenario the email caption subject be use to determine the unique i d  to do so select current message caption in the drop down list ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure an automatic process this selection mean that the unique i d be take from the subject line show in the message window caption of the email message window currently in focus even when multiple email message window be open simultaneously ,0
for example let s say that you first open email a that contain the subject aaa,0
and then you open email b which contain the subject bbb ,0
you now have two instance of the same process where one be assign to a message window with subject aaa and the other to a message window with the subject bbb ,0
real time designer process monitoring can differentiate between these two process instance and can count for each of they accordingly ,0
therefore when the user perform another action such as click the reply button in one of these email the reply action be automatically associate with the correct process instance base on the value of the business entity property current message caption at the time of the click event ,1
in the example describe above the unique i d associate a process instance with a physical entity in this case a message window ,0
you can also use the unique i d to associate handling time across multiple user or process ,1
for example you could use a claim I d as the unique i d for this purpose ,0
the unique i d enable you to handle both type of circumstance describe above ,1
it be important to specify the correct type of value in the desktop in order to ensure that it be in fact unique such as claim i d or claim i d day hour ,0
the uniqueness of the value be crucial for this purpose ,0
c define the timeout after value by check its checkbox and then assign a numeric value in the adjacent box ,0
the timeout define the process total time once reach the process will be terminate and be not dependent on the activity in the process time ,0
this field be optional and be useful if the standard stop trigger do not occur or be never reach ,0
note if this option be not check and there be no value assign to it the default timeout value will be accord to the real time designer setting second ,0
however if you assign a value in the automatic process it will override the timeout configure in the setting ,0
d define the idle after value by check its checkbox and then assign a numeric value in the adjacent box ,0
this field enable you to specify an idle threshold in second ,0
idle time be measure at the process level and indicate when no mouse or keyboard action be detect for long than the specified threshold ,0
in this case the value be second ,0
this field be optional and be useful when the idle threshold of the process should be different than the idle threshold of the desktop ,0
for more detail about the desktop idle threshold see desktop process monitor setting on page ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure an automatic process this selection mean that if no action be detect on the desktop within the specify threshold such as a mouse press or keyboard action then the state of the process change to idle ,0
when a process become idle it automatically pause all of its active task ,0
the process resume when the next input event be receive keyboard or mouse ,0
note a lock state indicate that the user s desktop be lock  ,1
define the action when process end use the action editor in the middle of the window ,0
use the action editor to define the instruction to be perform when the process end ,0
for example to start a workflow once the process end ,0
this action editor work in the same manner as other action editor available in real time designer  ,0
specify the link data collection activity value ,0
note when you select datum collection in the process propertie the activate and collect function be trigger behind the scene when the process s stop trigger be trigger  ,0
click the down arrow in the link data collection activity field to define its value ,0
only one datum collection activity can be select ,0
note for detail about how to define data collection see designer user guide define data collection section ,1
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure an automatic process ,0
in the success measure area select measure value and data source ,0
the success measure area enable you to specify a measure value thereby provide additional performance information for that process ,0
the process handle time in second be the default measure value set ,0
alternatively any decimal business entity can be set  ,0
select the measureoption and then click in the measure field  ,0
select any decimal business entity as a data source for the measure value  ,0
enter a short description for the measure value ,0
this will be the measure type show in the report ,0
note the sum of all percentage value be always  ,0
repeat step through step for each measure ,0
you be now ready to specify the task for the process and define their property ,0
to do this proceed to configure task on the next page ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure task configure task this section describe how to configure two of the three task comprise an email message handling process  to configure a process s task for monitor in real time designer in the business logic window click process ,0
assign a recognizable name to the task such as read email  to display a new task branch under the ,0
select the start tab to define start and stop trigger property for the task  ,0
click the down arrow in the start when field to configure its value ,0
this field indicate when the task begin ,0
every task must have at least a start trigger ,0
the follow window be display solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure task ,0
select process name of process start in the drop down list as show below this selection indicate the start event for the task ,0
in this example the task should start immediately when the process start  ,0
next specify the value for the stop when field ,0
this field specify the trigger for stop the current active task if the checkbox be not select this mean that when the process stop so do its task ,0
if the stop when field be select you will need to specify the trigger that stop the task by click the select rule or event dropdown list  solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure task ,0
specify the value for the use own unique i d field ,0
typically a process s unique i d be automatically assign to its component task whenever a task change its state start stop pause or resume in order to ensure that the task instance be correctly assign to the correct process instance ,0
when you enable the use own unique i d field the value of the datum source that you select be use instead of the process s unique i d datum source value ,0
this field be useful when the process s unique,0
i d be not available at the time when the task event should occur ,0
in effect the use own unique i d field specify a backup location to look for the unique i d if for any reason it can not be find in the data source assign to the process ,0
in this case the checkbox be unchecked for this task ,0
define pause and resume trigger when define multiple instance of the same process type for example an email reply the real time client can recognize when an instance have be pause automatically accord to the instance that be currently in focus ,0
move between different instance of the same process will therefore pause and resume the process accordingly ,0
when define multiple process the real time client be also able to identify that the agent have switch between process and will automatically pause the first process however in order to resume the first process you will need to define a resume trigger for the process  to define pause resume trigger ,0
select the pause tab and define the trigger for pause resume the task ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure task ,0
specify the trigger event or logical expression that pause and resume the task ,0
when you select this option you must define the trigger condition or event for pause and resume  ,0
remember to define a resume trigger for the task you will need to define a resume trigger even if there be no define pause trigger in other word even if the pause checkbox be not select  note if for the same process type there be more than one instance run because both instance receive their unique i d value from the same data source define in the process type when the unique i d value change the process pause and resume automatically accord to the unique i d value and the instance it match ,1
the resume trigger be take into consideration if it occur however when a trigger be fire for any process trigger that be define in the process type it look at the current unique i d value to ensure that it be apply to the correct process instance ,0
the resume trigger will have no effect if it be fire from a process that be already run since the unique i d have probably not change and it will try to resume the same instance that be already run ,0
the resume trigger be mandatory even if there be no pause trigger define in case where a process type be pause but be not automatically resume ,0
if the paused new process be close the old process will not necessarily resume automatically and need to be resume use the trigger ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure task ,0
click to add a new task branch under the process ,0
give this task a recognizable name such as write a response as show below ,0
specify the value for the pause when field by select trigger rule in the dropdown list as show below the follow be display when write a task we be define a rule as the trigger for when the task begin ,0
as such you must now define the condition s for this rule  ,0
click the start tab and define the condition for the rule as show below solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure task as show above this rule have three condition to ensure that the email be in fact a response email ,0
these condition be describe below for condition the send button in the email message be now available ,0
the logic here be that when the user click the reply button in an email message the send button become available in the email message for send the reply ,1
this indicate that the reply email message for the specific receive email message be currently in edit mode  condition state that the current message caption email subject contain the caption subject of the handle email message and be therefore associate with the same process instance of the handle email message  condition state that the current message caption contain the text re thereby indicate that the email be a reply to the originally open email ,0
the logic here be that when the user open an email the value of its caption subject be store ,1
therefore when the user click the reply button in the email a check can be make to determine whether the message response contain the same caption as the originally open email  ,1
define the stop when value for the task ,0
in this case a stop condition be specify unlike in the reading the email task ,0
check the stop when checkbox and then select screen element outlook message window send button click in the drop down list as show below solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure task this selection mean that the task be stop when the user click the send button in this specific instance of the email message  ,1
next select the pause tab and define the trigger for pause resume the task ,0
in this case the pause when option at the top of the pane be select ,0
when select this option you must define the condition s that trigger when to pause and resume the task  ,0
define the condition for pause the task this selection specify that the task be pause accord to the condition specify  ,0
define the condition for resume the task this selection specify that the task be resume accord to the condition specify ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer process path discovery process path discovery desktop analytic process path discovery feature provide a strong analytical tool for discover the actual process execution method in term of application and process task use by call center or back office employee to accomplish their business process ,0
to accomplish a process each employee may actually use slightly different method such as different application in a different order or perform process task in a different order ,0
because process have a success measure that represent the business goal each process perform process instance have a measure value that represent that process instance s success in achieve the business need ,0
the process path discovery utilize the success measure associate with a process to determine the overall measure value of a process instance ,0
go to step inconfigure an automatic process on page for more detail about success measure ,0
for the purpose of path discovery non active time on the client be consider only when it reach a duration threshold mean the time be very long ,0
non active time on the client include idle time hold time and locked time as follow idle time the time when no mouse or keyboard action be detect on the client for long than a specified threshold ,0
hold time the time that begin after a process start but before the first task start or the time between task ,0
note all state process on hold process active idle and locked be separate one from the other ,0
in other word the state be not overlap ,0
lock time the time when the client computer be in a locked state by press ctrl alt del and then lock the computer ,0
this concept be illustrate in the follow figure a threshold can be define for each non active time idle hold lock ,0
value below these threshold be ignore in order to eliminate unnecessary noise ,0
idle hold and lock time setting be configure in the system setting window ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer process path discovery for detail about configure the setting describe in this section see the real time server server branch in the system setting window which be describe in the system administration guide ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer monitor a process monitor a process the monitor window contain the process monitor tab which can be use to monitor process and their instance and task ,0
this tab show all the process define in a project ,0
note when use the monitor you can immediately see the name of a process that you create ,0
however you can only see a process s instance and task after the process start run ,0
the navigation pane of the window have a branch for each process and sub branch for each currently run instance of that process ,0
for example the figure above show one solution name dpm which have a single process name test ,0
the test process have two instance name calc and calc ,0
each instance have four task name and ,0
select a process branch in the navigation pane to display its property in the top right pane ,0
the bottom right pane display the condition trigger for that process ,1
it contain a start trigger tab and a stop trigger tab ,0
the start trigger tab contain a row for each condition that act as a start trigger for the process ,0
the stop trigger tab contain a row for each condition that act as a stop trigger for the process ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer monitor a process after a start stop condition be meet trigger the actual value that trigger that action be show in the respective tab ,0
the tab in the bottom right pane display the follow information for each condition row business entity property value select an instance branch in the navigation pane to display realtime information about that instance such as its queue tag score and so on in the top pane on the right as show below the follow information be display for a select instance solution guide nice advanced process automation ,1
desktop analytic ,0
a application and process monitoring in real time designer monitor a process application name when started specify the name of the application when the instance begin run ,0
queue tag specify the queue tag as describe in step a score specify the success score as describe in step ,0
screen name when started specify the screen caption when the instance begin run ,0
start time specifie when the process instance begin run as describe in step a ,0
unique i d specify the unique i d as describe in step b url when started specify the application url when the instance begin run ,0
the information in the bottom,1
right pane list the event that occur relate to the select instance along with their detail ,0
the event list provide the follow information for each event name specify the name of the task where the event occur ,0
type indicate the type of event that occur such as start stop idle activate pause and resume  application specify the name of the application that be run when the event occur mean the application be monitor ,0
screen specify the screen caption of the application mean the caption in the title bar of the application ,0
url for web application specify the application s url ,0
timestamp specify the timestamp when the event start ,0
select a task branch in the tree to display realtime information about that task as show below solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer monitor a process the follow information be display for a select task in the top right pane use process unique i d indicate whether to use the process s unique i d or the unique i d for the task as describe in step ,0
use stop trigger indicate whether a stop trigger be in use for the task as describe in step ,0
the bottom right pane contain a series of tab that correspond to the condition trigger for that the start trigger tab contain a row for each condition that act as a start trigger for the task ,1
the stop trigger tab contain a row for each condition that act as a stop trigger for the task ,0
the pause trigger tab contain a row for each condition that act as a pause trigger for the task ,0
the resume trigger tab contain a row for each condition that act as a resume trigger for the task ,0
after a start stop pause resume condition be meet trigger the actual value that trigger that action be show in the respective tab ,0
the tab in the bottom right pane display the follow information for each condition row business entity property value for more detail about the monitor see designer user guide monitor a project section ,1
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer process monitor function process monitoring function this section describe the usage of real time designer function for process and task and include the follow subsection process function task function solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer process function process function the follow function be available for process active task use this function to retrieve the name of the active task within the specific process instance accord to the specify unique i d  this function can only be use for a task that be start or that be pause ,0
queue tag use this function to retrieve the queue tag of a specific process instance accord to the specify unique i d  replace queue tag use this function when you want to change the queue tag ,0
replace unique i d use this function to change the unique i d  the parameter for this function specify the old unique i d and the new unique i d that be to replace it ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer process function note use of the replace unique i d function introduce risk if not synchronize with the datum source for the unique i d property in the process property ,0
this mean that follow an invocation of the replace unique i d function you must ensure that the data source assign to the unique i d property return the same new unique i d value that you assign to in the invocation of replace unique i d  if you have not do so process task event occur after the replace unique i d invocation be lose as the value from the datum source of the unique i d property no long match the new unique i d value that the process instance now hold ,0
report manual use this function when you want to report manual process or work item  start time use this function to retrieve the time when a specific process instance be activate accord to the specify unique i d  state use this function to retrieve the state of a specific process which can be active idle on hold or lock accord to the specify unique i d  terminate all use this function to stop all active instance of the process ,0
terminate instance use this function to stop a specific instance of the process accord to the specify unique i d  this be useful instead of specify a stop trigger for a process ,0
for example in unique case when at the time that the stop trigger event be detect the unique i d value may not be available in the unique i d datum source that be specify for the process ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer task function task function the follow function be available for task pause use this function to pause a specific task instance accord to the specify unique i d  resume use this function to resume a specific task instance accord to the specify unique i d  state use this function to retrieve the state of a specific task instance which can be start pause or idle accord to the specify unique i d  solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer process monitor property process monitor property the follow property be available when define a process name specify the display name of the process object ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer use desktop work tracker use desktop work tracker desktop work tracker be a feature that enable an employee to manually insert process into the system from the employee s desktop ,0
desktop work tracker be intend for organization employee provide they with full control of start and stop process and identify process ,0
use desktop work tracker the administrator can define manual process define process stop reason for manual process define activity reason to be use by the agent during runtime this provide management with the ability to keep track of agent activity and application usage on manual process ,0
use the client desktop work tracker the agent be then able to select between process type and set the unique i d uid ,0
start stop pause and resume a process instance pause in this case refer to put the process into sleep mode ,0
select an off desktop activity ,0
note there be a configuration option to allow employee to set their off desktop activity only and not allow they to handle process ,0
see perform additional miscellaneous configuration on page ,0
the desktop analytic report will then present the datum for these manual process in the same way as for standard process ,0
about desktop work tracker desktop work tracker use the basic real time designer process monitor capability to employ manual process management ,0
the agent be prompt with a callout contain a list of predefine process and a uid text box ,0
the agent must then select start stop pause or resume for any of the process ,0
the agent can also manually set an activity reason and pause all process mean the agent be now in another activity for example lunch break meeting and so forth ,0
the manual process type have one task define in it which be set to start and stop together with the process ,0
when the agent select to pause or resume the process this pause or resume the task itself ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer use desktop work tracker desktop work tracker workflow ,0
define process stop reason ,0
optional create activity if you do not define any activity in the activity tab when the agent click the activity button in the desktop work tracker client the reason will be record as paused work  ,0
go to the business logic tab configure manual process and then apply the process stop reason see configure a manual process desktop work tracker on page for detail  ,0
publish the solution so that the agent can use the desktop work tracker client to track manual process and their activity refer to the real time designer user guide for detail ,1
note you will not be able to publish the solution if there be no stop reason define for the manual process ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer desktop work tracker workflow desktop work tracker workflow the follow table detail the workflow for use the desktop work tracker  description reference step desktop process monitor define process stop reason and off desktop activity administrator ,0
in the real time designer use the administration module tree configure process stop reason ,0
see configuring process stop reason for manual process on optional set up activity ,0
optional set up default process stop reason ,0
optional configure the number of concurrent process instance ,0
see configuring activity on see configuring process stop reason for manual process on see perform additional miscellaneous configuration on the face page step configure a manual process desktop work tracker administrator ,0
use real time designer process monitor configure manual process and assign they process stop reason ,0
see configure a manual process desktop work tracker on page step use the desktop work tracker client agent ,0
use the desktop work tracker client to manage process stop reason and off desktop activity ,0
see use the desktop work tracker client on page solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer perform additional miscellaneous configuration perform additional miscellaneous configuration various miscellaneous option can be configure for desktop work tracker ,0
the number of concurrent process instance that can be display on the agent s desktop work tracker client can be configure ,0
this be use to avoid situation where the agent have too many instance and be unable to address each one properly ,0
the maximum number of stop reason per process can also be configure ,0
an option to use the activity tracker only allow employee to set their off desktop activity in the desktop work tracker window without handle process ,0
there be also option to specify the maximum and minimum length of the process uid enter by the employee in the desktop work tracker window  to perform additional miscellaneous configuration in the administration module tree navigate to desktop process monitor desktop work tracker and select the misc tab ,0
in the max number of concurrent process instance field enter the number of concurrent process you want to display on the agent s desktop work tracker client ,0
note the number of concurrent process instance can also be configure through the server console see system administration guide for detail ,0
in the max number of stop reason per process field enter the maximum number of stop reason allow per process ,0
you can define these reason in the manual process branch in the business logic tab of the designer ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer perform additional miscellaneous configuration ,0
select the use activity tracker callout only without process checkbox to allow employee to set their off desktop activity only and not allow they to handle process ,0
when this option be select the desktop work tracker window only include the option to select an off desktop activity and do not include any process ,0
note this option be only apply if the client be connect to the real time server ,0
no real time designer solution be require ,0
if the client do not connect to the real time server this option be not apply and the behavior be as if this option be unchecked ,0
in the max length of uid field enter the maximum length between and allow for a new manual process uid enter in desktop work tracker ,0
in the min length of uid field enter the minimum length between and allow for a new manual process uid enter in desktop work tracker ,0
note there be no limitation in uid length if the client be not connect to the real time server  ,0
click apply to save your change ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer define manual process and their stop reason define manual process and their stop reason,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure process stop reason for manual process configuring process stop reason for manual process desktop work tracker provide organization employee with a tool for define process stop reason for manual process ,0
these process stop reason then enable management to track agent activity on manual process which be define in the business logic see configure a manual process desktop work tracker on page for detail ,0
desktop work tracker include three system base stop reason that be preinstalle with the system shut down time out if the manual process have be configure with a preset timeout and the process reach its timeout this stop reason will be apply as relevant seestep c in configure a manual process desktop work tracker on page for detail  complete this reason will appear in the process stop reason list by default and can be delete or modify as need see below for detail ,0
note if you do not set any process stop reason in the desktop work tracker only the system base reason will be include for the manual process ,0
the reason shutdown and time out will not appear in the real time designer or real time client but will be use by the system in the relevant situation when the real time client shut down or when the process time out ,0
you may add reason edit exist reason and delete reason ,0
because multiple user may be access the system at the same time you may want to refresh the list of process stop reason before make change ,1
the process stop reason will be display alphabetically in the setup but accord to their default in the selection ,0
note the maximum number of stop reason per process can also be configure ,0
see perform additional miscellaneous configuration on page ,0
to add edit or delete process stop reason in the administration module tree navigate to desktop process monitor desktop work tracker and select the first tab process stop reason ,0
the process stop reason tab display the current process stop reason in alphabetical order ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure process stop reason for manual process ,0
click a row be add to the list of reason ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure process stop reason for manual process ,0
enter a stop reason in the new row ,0
the reason should not exceed character  ,0
to add the next reason click the space under the exist reason and then click new row ,0
to add a ,0
when you have finish add process stop reason click apply to save your change ,0
real time designer will display a notification that your change be apply successfully ,0
note the reason will be display in the monitoring tab see define process monitor in real time designer on page for detail  ,0
to edit an exist reason select it modify the reason name and click apply to save your change ,0
real time designer will display a notification ask that your change be apply successfully  ,0
to delete an exist reason select the reason or select multiple reason from the list by hold down your mouse and click ,0
when ask to confirm the deletion click yes to delete ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure process stop reason for manual process note if you delete a process stop reason and it be already assign to a process the process stop reason will be display with an asterisk next to it in the monitoring tab see define process monitor in real time designer on page for detail ,0
set default process stop reason optional when configure process stop reason you may specify which reason should be set as the default one apply to each process ,0
these will then be display in the desktop work tracker client see use the desktop work tracker client on page for detail ,0
however if you change the default process stop reason on a per process basis in the business logic the default process stop reason display will differ from process to process ,0
to change the default process stop reason in the list of process stop reason select the checkboxe of the reason you wish to set as default ,0
the maximum number of default reason be limit to five  ,0
click apply to save your change ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure a manual process desktop work tracker configure a manual process desktop work tracker manual process be an integral feature of desktop work tracker and be design to allow you to manually insert process into the system from your desktop ,0
this section describe how to set up and configure a manual process ,0
you will not need to define any task for manual process since the task be create in the background and define automatically ,0
to configure a manual process for monitor in real time designer ,0
click the business logic module tab ,0
in the process tree select manual process and then click right click manual process and select add new manual process from the popup menu a new manual process be add to the tree ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure a manual process desktop work tracker ,0
rename the process ,0
note if a queue tag be not specify the process name must have or few character and must not include space or tab  ,0
define the property of the process a define the queue tag value ,0
the queue tag provide a means to categorize the process ,0
for example because handle email be a generic activity you may want to categorize the email be handle by type such as claim relate email request relate email and so on ,0
in a wfm environment different type of email be automatically handle separately ,0
in order to provide information to the wfm system in the most usable form you also want to categorize email by type so that email handle time for different email type can be count separately ,0
use queue tag can help differentiate between the various context of the usage of a process ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure a manual process desktop work tracker note if specify a queue tag must have or few character and must not include space or tab ,0
this limitation be require when send process information to workforce management wfm ,0
if the process information be not be send to wfm and you require more than character in the queue tag use a text business entity in the queue tag instead of a static value ,0
the business entity and its initial value can include more than character ,0
b for our scenario select business entity message orientation in the drop down list ,0
the message orientation value mean that the email type can be determine directly from the email itself ,0
in effect this selection extract the prefix of the email address in the to field of an email up to the sign in the address ,0
the extract prefix be then use to tag categorize email by type so that email handle time for different email type can be count separately ,0
c define the timeout after value by check its checkbox and then assign a numeric value in the adjacent box ,0
this field enable you to specify a timeout value in second that once reach terminate the process ,0
this field be optional and be useful if the standard stop trigger do not occur or be never reach ,0
if this option be not check and there be no value assign to it the default timeout value will be accord to the real time designer setting second ,0
however if you assign a value in the process it will override the timeout configure in the setting  ,0
specify the link data collection activity value ,0
note when you select datum collection in the process propertie the activate and collect function be trigger behind the scene when the process s stop trigger be trigger  ,0
click the down arrow in the link data collection activity field to define its value ,0
only one datum collection activity can be select ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a application and process monitoring in real time designer configure a manual process desktop work tracker note for detail about how to define data collection see define datum collection in the real time designer user guide in the success measure area select measure value and data source ,1
